Experimental,Time_Experimental,Mistakes_Experimental,,Control,Time_Control,Mistakes_Control,,
1,27,3,,1,14,1,,
2,37,3,,2,24,0,,
3,29,0,,3,23,0,,
4,36,1,,4,22,1,,
5,33,3,,5,17,0,,
6,14,0,,6,22,0,,
7,33,1,,7,21,1,,
8,34,0,,8,43,0,,
9,26,0,,9,22,0,,
10,28,2,,10,27,0,,
11,25,1,,11,21,0,,
12,33,2,,12,15,0,,
13,50,5,,13,22,0,,
14,35,2,,14,23,0,,
15,16,5,,15,13,0,,
16,30,0,,16,17,0,,
17,39,0,,17,25,0,,
18,34,1,,18,31,0,,
19,32,1,,19,15,1,,
20,35,1,,20,23,0,,
21,36,2,,21,24,0,,
22,33,3,,22,20,1,,
23,30,0,,23,15,0,,
24,45,3,,24,19,0,,
25,36,3,,25,14,0,,
26,45,5,,26,13,0,,
27,34,2,,27,15,0,,
28,24,0,,28,21,0,,
29,37,2,,29,17,0,,
30,31,3,,30,17,0,,
31,22,0,,31,17,0,,
32,33,0,,32,44,0,,
33,26,0,,33,18,0,,
34,23,1,,34,17,1,,
35,38,2,,35,16,0,,
36,34,3,,36,23,0,,
37,26,2,,37,18,0,,
38,40,0,,38,16,0,,
39,39,1,,39,18,0,,
40,30,3,,40,26,0,,
41,33,0,,41,28,1,,
42,34,2,,42,24,0,,
43,46,3,,43,22,0,,
44,29,1,,44,18,0,,
45,37,0,,45,33,0,,
46,32,1,,46,32,0,,
47,36,0,,47,24,0,,
48,37,0,,48,19,0,,
49,29,2,,49,28,0,,
50,33,0,,50,25,3,,
51,25,1,,51,23,0,,
52,43,2,,52,21,0,,
53,41,0,,53,24,0,,
54,35,0,,54,32,1,,
55,27,0,,55,25,0,,
56,36,1,,56,22,0,,
57,29,1,,57,26,1,,
58,42,2,,58,16,0,,
59,25,4,,59,23,0,,
60,43,3,,60,21,0,,
61,36,1,,61,24,0,,
62,48,4,,62,24,0,,
63,46,3,,63,19,0,,
64,37,1,,64,13,0,,
65,32,1,,65,15,0,,
66,31,1,,66,14,0,,
67,24,0,,67,19,0,,
68,27,1,,68,14,0,,
69,39,1,,69,19,0,,
70,43,1,,70,15,0,,
71,33,0,,71,21,0,,
72,32,1,,72,19,0,,
73,35,2,,73,13,1,,
74,41,0,,74,17,1,,
75,35,2,,75,23,0,,
76,34,4,,76,14,0,,
77,31,2,,77,12,0,,
78,29,1,,78,24,0,,
79,25,0,,79,21,1,,
80,35,1,,80,18,0,,
